profile_id,country,profile_label,career_start_dt,last_observed_dt,duration_observed_months,event_a,time_to_event_a_months,event_b,time_to_event_b_months,baseline_seniority,number_of_roles,lcnc_share,profile_label_primary,career_start_year
246,Sweden,LCNC,2012-01-01,2026-04-10,171.0,1,43.0,1,43.0,3.0,14,1.0,LCNC,2012.0
247,Sweden,LCNC,2012-11-01,2026-04-10,161.0,1,55.0,1,55.0,0.0,10,1.0,LCNC,2012.0
248,Sweden,Mixed,2015-01-01,2026-04-10,135.0,0,135.0,0,135.0,3.0,5,0.6666666666666666,Excluded_Other_Mixed,2015.0
249,Sweden,LCNC,2007-06-01,2026-04-10,226.0,1,38.0,1,38.0,3.0,6,1.0,LCNC,2007.0
250,Sweden,LCNC,2009-02-01,2026-04-10,206.0,1,124.0,1,124.0,1.0,18,1.0,LCNC,2009.0
251,Sweden,LCNC,2012-01-01,2026-04-10,171.0,1,40.0,1,40.0,3.0,5,1.0,LCNC,2012.0
252,Sweden,LCNC,2010-12-01,2026-04-10,184.0,1,0.0,1,0.0,6.0,12,1.0,LCNC,2010.0
253,Sweden,Mixed,2007-07-01,2026-04-10,225.0,1,134.0,1,134.0,3.0,10,0.4,Excluded_Other_Mixed,2007.0
254,Sweden,LCNC,2011-01-01,2026-04-10,183.0,0,183.0,0,183.0,0.0,9,1.0,LCNC,2011.0
255,Sweden,LCNC,2021-09-01,2026-04-10,55.0,0,55.0,0,55.0,3.0,4,1.0,LCNC,2021.0
256,Sweden,LCNC,2004-01-01,2026-04-10,267.0,1,255.0,0,267.0,0.0,9,1.0,LCNC,2004.0
257,Sweden,LCNC,2008-08-01,2026-04-10,212.0,1,32.0,1,32.0,3.0,7,1.0,LCNC,2008.0
258,Sweden,LCNC,2019-06-01,2026-04-10,82.0,0,82.0,0,82.0,3.0,6,1.0,LCNC,2019.0
259,Sweden,LCNC,2006-01-01,2026-04-10,243.0,1,181.0,1,204.0,3.0,11,1.0,LCNC,2006.0
260,Sweden,Traditional Software Development,2011-08-01,2026-04-10,176.0,1,100.0,1,100.0,0.0,14,0.16666666666666666,Traditional Software Development,2011.0
261,Sweden,LCNC,2006-10-01,2026-04-10,234.0,1,0.0,1,0.0,6.0,6,1.0,LCNC,2006.0
262,Sweden,LCNC,2005-01-01,2026-04-10,255.0,1,24.0,1,24.0,3.0,12,1.0,LCNC,2005.0
263,Sweden,LCNC,2012-01-01,2026-04-10,171.0,1,119.0,0,171.0,0.0,7,1.0,LCNC,2012.0
264,Sweden,LCNC,2010-12-01,2026-04-10,184.0,1,138.0,0,184.0,3.0,6,0.75,LCNC,2010.0
265,Sweden,Traditional Software Development,2006-02-01,2026-04-10,242.0,1,32.0,1,32.0,3.0,11,0.0,Traditional Software Development,2006.0
266,Sweden,Mixed,2012-06-01,2026-04-10,166.0,1,0.0,1,0.0,6.0,12,0.6666666666666666,Excluded_Other_Mixed,2012.0
267,Sweden,LCNC,2007-12-01,2026-04-10,220.0,0,220.0,0,220.0,3.0,3,1.0,LCNC,2007.0
268,Sweden,Traditional Software Development,2011-01-01,2026-04-10,183.0,1,93.0,1,152.0,3.0,7,0.0,Traditional Software Development,2011.0
269,Sweden,LCNC,2011-02-01,2026-04-10,182.0,1,35.0,1,167.0,3.0,8,1.0,LCNC,2011.0
270,Sweden,Other,2000-01-01,2026-04-10,315.0,1,212.0,1,212.0,0.0,7,,Excluded_Other_Mixed,2000.0
271,Sweden,Mixed,2007-11-01,2026-04-10,221.0,1,0.0,0,221.0,4.0,7,0.6666666666666666,Excluded_Other_Mixed,2007.0
272,Sweden,Traditional Software Development,2009-08-01,2026-04-10,200.0,1,28.0,1,28.0,3.0,8,0.2,Traditional Software Development,2009.0
273,Sweden,Traditional Software Development,2019-09-01,2024-05-01,56.0,0,56.0,0,56.0,3.0,3,0.0,Traditional Software Development,2019.0
274,Sweden,Mixed,2012-06-01,2026-04-10,166.0,0,166.0,0,166.0,0.0,5,0.5,Excluded_Other_Mixed,2012.0
275,Sweden,Mixed,2019-07-01,2026-04-10,81.0,0,81.0,0,81.0,1.0,6,0.6666666666666666,Excluded_Other_Mixed,2019.0
276,Sweden,Traditional Software Development,2009-08-01,2024-07-01,179.0,0,179.0,0,179.0,3.0,7,0.25,Traditional Software Development,2009.0
277,Sweden,LCNC,2004-01-01,2026-04-10,267.0,1,0.0,1,60.0,4.0,5,1.0,LCNC,2004.0
278,Sweden,Mixed,1998-02-01,2026-04-10,338.0,1,273.0,1,273.0,0.0,10,0.3333333333333333,Excluded_Other_Mixed,1998.0
279,Sweden,LCNC,2012-05-01,2026-04-10,167.0,1,155.0,1,155.0,3.0,5,1.0,LCNC,2012.0
280,Sweden,LCNC,2007-06-01,2026-04-10,226.0,1,50.0,1,50.0,0.0,14,1.0,LCNC,2007.0
281,Sweden,Mixed,2015-11-01,2026-04-10,125.0,0,125.0,0,125.0,3.0,5,0.5,Excluded_Other_Mixed,2015.0
282,Sweden,LCNC,2015-09-01,2026-04-10,127.0,0,127.0,0,127.0,0.0,7,1.0,LCNC,2015.0
283,Sweden,Other,2022-08-01,2026-04-10,44.0,0,44.0,0,44.0,1.0,3,,Excluded_Other_Mixed,2022.0
284,Sweden,Other,2015-03-01,2025-05-01,122.0,0,122.0,0,122.0,3.0,2,,Excluded_Other_Mixed,2015.0
285,Sweden,Traditional Software Development,2009-07-01,2026-04-10,201.0,1,8.0,1,8.0,3.0,11,0.0,Traditional Software Development,2009.0
286,Sweden,Traditional Software Development,2012-01-01,2026-04-10,171.0,0,171.0,0,171.0,0.0,8,0.0,Traditional Software Development,2012.0
287,Sweden,Traditional Software Development,2021-07-01,2025-08-01,49.0,0,49.0,0,49.0,3.0,2,0.0,Traditional Software Development,2021.0
288,Sweden,Traditional Software Development,2015-01-01,2026-04-10,135.0,1,12.0,1,12.0,3.0,11,0.0,Traditional Software Development,2015.0
289,Sweden,Traditional Software Development,2011-09-01,2026-04-10,175.0,1,0.0,0,175.0,4.0,5,0.0,Traditional Software Development,2011.0
290,Sweden,Traditional Software Development,2017-07-01,2026-04-10,105.0,0,105.0,0,105.0,3.0,5,0.0,Traditional Software Development,2017.0
291,Sweden,Traditional Software Development,2014-01-01,2026-04-10,147.0,1,31.0,1,31.0,2.0,6,0.0,Traditional Software Development,2014.0
292,Sweden,Traditional Software Development,2018-07-01,2026-04-10,93.0,1,84.0,0,93.0,3.0,5,0.0,Traditional Software Development,2018.0
293,Sweden,Traditional Software Development,2010-03-01,2026-04-10,193.0,1,80.0,1,80.0,3.0,12,0.0,Traditional Software Development,2010.0
294,Sweden,Traditional Software Development,2015-08-01,2026-04-10,128.0,0,128.0,0,128.0,3.0,3,0.0,Traditional Software Development,2015.0
295,Sweden,Traditional Software Development,2018-06-01,2026-04-10,94.0,1,78.0,0,94.0,3.0,3,0.0,Traditional Software Development,2018.0
296,Sweden,Traditional Software Development,2016-12-01,2026-04-10,112.0,1,52.0,0,112.0,1.0,8,0.0,Traditional Software Development,2016.0
297,Sweden,Traditional Software Development,2018-09-01,2026-04-10,91.0,0,91.0,0,91.0,3.0,3,0.0,Traditional Software Development,2018.0
298,Sweden,Traditional Software Development,2016-12-01,2023-12-01,84.0,0,84.0,0,84.0,3.0,3,0.0,Traditional Software Development,2016.0
299,Sweden,Traditional Software Development,2019-02-01,2026-04-10,86.0,1,0.0,0,86.0,3.0,4,0.0,Traditional Software Development,2019.0
300,Sweden,Traditional Software Development,2019-10-01,2026-04-10,78.0,0,78.0,0,78.0,1.0,4,0.0,Traditional Software Development,2019.0
