model,outcome,covariate,hr,hr_low_95,hr_high_95,p_value
pooled_stratified_baseline_bin,Outcome A,is_lcnc,0.859550095767299,0.5274246770534106,1.4008187316172056,0.5436166861598699
pooled_stratified_baseline_bin,Outcome A,is_romania,0.8764611913219831,0.5601595529156478,1.3713668112864046,0.5637275988507762
pooled_stratified_baseline_bin,Outcome A,lcnc_x_romania,1.1767692326751975,0.5234656731603881,2.6454185975756994,0.6937027804596134
pooled_stratified_baseline_bin,Outcome A,number_of_roles,1.0666402902700298,1.009426892260766,1.1270964916332198,0.021817532608331316
pooled_stratified_baseline_bin,Outcome A,career_start_year,0.993629780139926,0.9558609652289713,1.0328909495162983,0.7465316068613193
pooled_stratified_baseline_bin,Outcome B,is_lcnc,1.1013819957866808,0.6164989293583352,1.9676308309336592,0.7442950331489249
pooled_stratified_baseline_bin,Outcome B,is_romania,1.124049999020439,0.6174089869337235,2.0464366846566158,0.7020715660566932
pooled_stratified_baseline_bin,Outcome B,lcnc_x_romania,1.3945258319127378,0.5281195436526084,3.68231458056231,0.5020483704781213
pooled_stratified_baseline_bin,Outcome B,number_of_roles,1.1525301061149473,1.0835925691423933,1.2258534096008353,6.448384090521873e-06
pooled_stratified_baseline_bin,Outcome B,career_start_year,0.9851312861965408,0.9379006571228637,1.0347403466166019,0.5501020771405092
country_sweden_stratified_baseline_bin,Outcome A,is_lcnc,0.9353569594248842,0.5708881299283102,1.5325115301564072,0.7907928397386534
country_sweden_stratified_baseline_bin,Outcome A,number_of_roles,1.096328858729383,1.0336827287829358,1.1627716445432335,0.002187868504796467
country_sweden_stratified_baseline_bin,Outcome A,career_start_year,1.0299093485373092,0.9789616199307655,1.0835085304769771,0.25489986169616136
country_sweden_stratified_baseline_bin,Outcome B,is_lcnc,1.2332535574990746,0.684499016010641,2.2219379451386674,0.4851892907903781
country_sweden_stratified_baseline_bin,Outcome B,number_of_roles,1.178153039317677,1.1017975326965188,1.259800047524526,1.6215407196168253e-06
country_sweden_stratified_baseline_bin,Outcome B,career_start_year,1.0291583527023418,0.9642647790163744,1.0984191665876575,0.38708990583972946
country_romania_stratified_baseline_bin,Outcome A,is_lcnc,1.0907689397997302,0.5480032499952371,2.171112817382321,0.8046123472807103
country_romania_stratified_baseline_bin,Outcome A,number_of_roles,0.9702404304956408,0.838153480914246,1.1231433316264905,0.6857567119582619
country_romania_stratified_baseline_bin,Outcome A,career_start_year,0.9375747949773894,0.8816416286432359,0.9970564769379868,0.03998596959668796
country_romania_stratified_baseline_bin,Outcome B,is_lcnc,1.5429221593269618,0.654463501132164,3.6374966451512294,0.32163179112215023
country_romania_stratified_baseline_bin,Outcome B,number_of_roles,1.078207133189006,0.9201157798857752,1.2634612376759513,0.3519532240756589
country_romania_stratified_baseline_bin,Outcome B,career_start_year,0.9263027510095184,0.8567889690922297,1.0014563883063228,0.054429922102380374
