profile_id,country,experience
11,romania,"ING Hubs Romania Full-time · 6 yrs 9 mosFull-time · 6 yrs 9 mos
Chapter Lead Feb 2025 - Present · 1 yr 2 mosFeb 2025 to Present · 1 yr 2 mos
Bucharest, Romania · HybridBucharest, Romania · Hybrid Software Engineer Jul 2019 - Feb 2025 · 5 yrs 8 mosJul 2019 to Feb 2025 · 5 yrs 8 mos
Romania Kotlin Facultatea de Automatică și Calculatoare, Undergraduate Teaching Assistant Facultatea de Automatică și Calculatoare, UPB · SeasonalFacultatea de Automatică și Calculatoare, UPB · Seasonal
Feb 2019 - Jun 2023 · 4 yrs 5 mosFeb 2019 to Jun 2023 · 4 yrs 5 mos
Programming ParadigmsProgramming Paradigms ING Hubs Romania logo Software Engineer ING Tech Romania · InternshipING Tech Romania · Internship
Jul 2018 - Jan 2019 · 7 mosJul 2018 to Jan 2019 · 7 mos ""Romania"
12,romania,"SII Romania 12 yrs 5 mos
Chief Executive Officer Full-time
Mar 2024 - Present · 2 yrs 1 moMar 2024 to Present · 2 yrs 1 mo
Romania · On-site Director of Operations Full-time
Sep 2017 - Mar 2024 · 6 yrs 7 mosSep 2017 to Mar 2024 · 6 yrs 7 mos
Bucharest, Bucharest, RomaniaBucharest, Bucharest, Romania Business Unit Manager Jan 2014 - Mar 2024 · 10 yrs 3 mosJan 2014 to Mar 2024 · 10 yrs 3 mos
Project Manager and team leader Nov 2013 - Jan 2014 · 3 mosNov 2013 to Jan 2014 · 3 mos
TotalSoft 6 yrs 3 mos6 yrs 3 mos
Implementation Team Manager Jan 2011 - Nov 2013 · 2 yrs 11 mosJan 2011 to Nov 2013 · 2 yrs 11 mos
Project Manager and team leader Jan 2011 - Nov 2013 · 2 yrs 11 mosJan 2011 to Nov 2013 · 2 yrs 11 mos
Senior Technical and Business Consultant Jan 2011 - Mar 2013 · 2 yrs 3 mosJan 2011 to Mar 2013 · 2 yrs 3 mos
Software Developer & Team Leader Sep 2007 - Jan 2011 · 3 yrs 5 mosSep 2007 to Jan 2011 · 3 yrs 5 mos
Assistant lecturer Academy of Economic Studies in BucharestAcademy of Economic Studies in Bucharest Oct 2008 - Oct 2009 · 1 yr 1 moOct 2008 to Oct 2009 · 1 yr 1 mo
Software Developer Intelliblocks Software SRLIntelliblocks Software SRL ""Nov 2005 - Sep 2007 · 1 yr 11 mos"
13,romania,"Managing Director Man and Machine RomaniaMan and Machine Romania Feb 2008 - Present · 18 yrs 2 mosFeb 2008 to Present · 18 yrs 2 mos
Bucharest, Bucharest, Romania A&C INTERNATIONal 9 yrs
Director Of Sales Marketing Sep 2005 - Feb 2008 · 2 yrs 6 mosSep 2005 to Feb 2008 · 2 yrs 6 mos GIS Product Manager Mar 1999 - Sep 2005 · 6 yrs 7 mosMar 1999 to Sep 2005 · 6 yrs 7 mos
Computer Aided Design Engineer Ministry of Public Works and Territory PlanningMinistry of Public Works and Territory Planning ""Jun 1994 - Mar 1999 · 4 yrs 10 mos"""""";"
14,romania,"Senior Software Development Engineer"" Senior Software Development Engineer Orange Services · Full-time
Mar 2024 - Present · 2 yrs 1 moMar 2024 to Present · 2 yrs 1 mo
Bucharest, Romania · HybridBucharest, Romania · Hybrid Software Engineer Orange RomaniaOrange Romania Oct 2014 - Feb 2024 · 9 yrs 5 mosOct 2014 to Feb 2024 · 9 yrs 5 mos
Bucharest, Bucharest, RomaniaBucharest, Bucharest, Romania web developer intern CBN IT Business SolutionsCBN IT Business Solutions Jun 2013 - Sep 2013 · 4 mosJun 2013 to Sep 2013 · 4 mos
Bucharest, Bucharest, RomaniaBucharest, Bucharest, Romania ""OOP and RESTful WebServices"
15,romania,"EmposoEmposoFull-time · 2 yrs 10 mosFull-time · 2 yrs 10 mosBucharest, RomaniaBucharest, Romaniao  Team ManagerTeam ManagerFeb 2024 - Present · 2 yrs 2 mosFeb 2024 to Present · 2 yrs 2 moso  Full Stack DeveloperFull Stack DeveloperJun 2023 - Present · 2 yrs 10 mosJun 2023 to Present · 2 yrs 10 mosHybridHybrid·      Full Stack Developer Full Stack DeveloperFull Stack DeveloperHays Technology Solutions Romania · Full-timeHays Technology Solutions Romania · Full-timeMar 2022 - Jun 2023 · 1 yr 4 mosMar 2022 to Jun 2023 · 1 yr 4 mosBucharest, RomaniaBucharest, Romania·       Expleo GroupExpleo Group4 yrs 10 mos4 yrs 10 moso  Software Engineer - Python DeveloperSoftware Engineer - Python DeveloperFull-timeFull-timeAug 2020 - Mar 2022 · 1 yr 8 mosAug 2020 to Mar 2022 · 1 yr 8 mosBucharest, RomaniaBucharest, RomaniaRecruitment SpecialistRecruitment SpecialistMay 2018 - Aug 2020 · 2 yrs 4 mosMay 2018 to Aug 2020 · 2 yrs 4 mosRomaniaRomaniaChargée de recrutement Chargée de recrutementJun 2017 - Aug 2020 · 3 yrs 3 mosJun 2017 to Aug 2020 · 3 yrs 3 mosInternshipInternshipEPLO (European Public Law Organization)EPLO (European Public Law Organization)Jul 2015 - Sep 2015 · 3 mosJul 2015 to Sep 2015 · 3 mosGreece"
16,romania," Information Technology Application ManagerInformation Technology Application ManagerRaiffeisen Tech Romania · Full-timeRaiffeisen Tech Romania · Full-timeNov 2024 - Present · 1 yr 5 mosNov 2024 to Present · 1 yr 5 mosBucharest, Romania · HybridBucharest, Romania · Hybrid·        Deutsche BankDeutsche BankFull-time · 2 yrs 10 mosFull-time · 2 yrs 10 moso  IT Application Owner / OCR platform / Shared Applications and ServicesIT Application Owner / OCR platform / Shared Applications and ServicesFeb 2023 - Nov 2024 · 1 yr 10 mosFeb 2023 to Nov 2024 · 1 yr 10 mosBucharest, Romania · HybridBucharest, Romania · Hybrid§ §   Leadership, Time Management and +3 skills o  Application Management Support Engineer / Robotics&OCR / ShAPS / TDIApplication Management Support Engineer / Robotics&OCR / ShAPS / TDIFeb 2022 - Mar 2023 · 1 yr 2 mosFeb 2022 to Mar 2023 · 1 yr 2 mosBucharest, RomaniaBucharest, Romania§ §   Teamwork, Organization Skills and +3 skills ·       Application Support SpecialistApplication Support SpecialistLuxoft Luxoft Feb 2021 - Jan 2022 · 1 yrFeb 2021 to Jan 2022 · 1 yrBucharest, RomaniaBucharest, Romaniao    § §   Analytical thinking, Communication and +3 skills ·       Junior Systems EngineerJunior Systems EngineerMicrogreens RomaniaMicrogreens RomaniaJan 2020 - Jan 2021 · 1 yr 1 moJan 2020 to Jan 2021 · 1 yr 1 moBucureștiBucurești·      Microsera MicroseraMicrosera7 mos7 mosBucharest Metropolitan AreaBucharest Metropolitan Areao  Junior Systems EngineerJunior Systems EngineerOct 2019 - Dec 2019 · 3 mosOct 2019 to Dec 2019 · 3 mosTechnical InternTechnical InternJun 2019 - Sep 2019 · 4 mos "
17,romania,Program ManagerProgram ManagerPaddy Power Betfair · Full-timePaddy Power Betfair · Full-timeMar 2021 - Present · 5 yrs 1 moMar 2021 to Present · 5 yrs 1 moRomaniaRomaniaBetfairBetfair18 yrs 3 mos18 yrs 3 mosProject ManagerProject ManagerFeb 2010 - Present · 16 yrs 2 mosFeb 2010 to Present · 16 yrs 2 mosJava DeveloperJava DeveloperJan 2008 - Mar 2010 · 2 yrs 3 mosJan 2008 to Mar 2010 · 2 yrs 3 mosJava DeveloperJava DeveloperJava DeveloperISDCISDC2007 - 2008 · 1 yr2007 to 2008 · 1 yrDeveloperDeveloperISDC RomaniaISDC RomaniaOct 2006 - Dec 2007 · 1 yr 3 mos
18,romania," Software EngineerSoftware EngineerFlightloop · Full-timeFlightloop · Full-timeDec 2024 - Present · 1 yr 4 mosDec 2024 to Present · 1 yr 4 mos·       Software DeveloperSoftware DeveloperScorebuzzerScorebuzzerJul 2023 - Nov 2024 · 1 yr 5 mosJul 2023 to Nov 2024 · 1 yr 5 mosRemoteRemoteSoftware Engineer InternshipSoftware Engineer InternshipiLabs · Full-timeiLabs · Full-timeDec 2022 - Jun 2023 · 7 mosDec 2022 to Jun 2023 · 7 mosBattaramulla, Western Province, Sri Lanka · On-site "
19,romania,"Software Test EngineerSoftware Test EngineerE.ON Software DevelopmentE.ON Software DevelopmentDec 2022 - Present · 3 yrs 4 mosDec 2022 to Present · 3 yrs 4 mosRemoteRemoteTest EngineerTest EngineerNTT DATA · ContractNTT DATA · ContractDec 2021 - Feb 2023 · 1 yr 3 mosDec 2021 to Feb 2023 · 1 yr 3 mosTest EngineerTest EngineerSignant HealthSignant HealthJun 2021 - Dec 2021 · 7 mosJun 2021 to Dec 2021 · 7 mosSoftware Test EngineerSoftware Test EngineerUniCredit ServicesUniCredit ServicesDec 2020 - Jun 2021 · 7 mosDec 2020 to Jun 2021 · 7 mosQuality Assurance SpecialistQuality Assurance SpecialistXivic, Inc.Xivic, Inc.Nov 2018 - Dec 2020 · 2 yrs 2 mosNov 2018 to Dec 2020 · 2 yrs 2 mosIasi Metropolitan Area"
20,romania,"Software EngineerSoftware EngineerT-Systems International · Full-timeT-Systems International · Full-timeDec 2025 - Present · 4 mosSoftware EngineerSoftware EngineerMHP – A Porsche Company · Full-timeMHP – A Porsche Company · Full-timeDec 2023 - Nov 2025 · 2 yrsDec 2023 to Nov 2025 · 2 yrsBucharest, Romania#Deutsche BankDeutsche Bank2 yrs 5 mos2 yrs 5 mosSoftware EngineerSoftware EngineerFull-timeFull-timeNov 2021 - Nov 2023 · 2 yrs 1 moNov 2021 to Nov 2023 · 2 yrs 1 moBucharest, RomaniaBucharest, RomaniaSoftware Engineer InternSoftware Engineer InternInternshipInternshipJul 2021 - Oct 2021 · 4 mosJul 2021 to Oct 2021 · 4 mosBucharest, RomaniaBucharest, Romania   "
