country,outcome,hr_lcnc_vs_traditional,hr_low_95,hr_high_95,p_value,n_profiles,n_events
Sweden,Outcome A (>=4),0.9353569594248842,0.5708881299283102,1.5325115301564072,0.7907928397386534,133,87
Sweden,Outcome B (>=5),1.2332535574990746,0.684499016010641,2.2219379451386674,0.4851892907903781,133,56
Romania,Outcome A (>=4),1.0907689397997302,0.5480032499952371,2.171112817382321,0.8046123472807103,124,48
Romania,Outcome B (>=5),1.5429221593269618,0.654463501132164,3.6374966451512294,0.32163179112215023,124,29
