min_followup_months,outcome,n_profiles,n_model,events,hr_lcnc,ci_low,ci_high,p_value
0,Outcome A (>=4),257,257,135,0.9110712043303839,0.61772997325535,1.3437112902030084,0.6385168303188988
0,Outcome B (>=5),257,257,85,1.2347071949647679,0.7737785714731151,1.97020428518126,0.3765454015688443
36,Outcome A (>=4),242,242,134,0.8867204258020439,0.5987254912782649,1.313244759056247,0.5485031699516159
36,Outcome B (>=5),242,242,84,1.1869345186707596,0.7391137216389995,1.9060849641488398,0.47825967224004085
60,Outcome A (>=4),197,197,128,0.8675018035830527,0.5757853537178863,1.3070137584440467,0.4967137304897925
60,Outcome B (>=5),197,197,80,1.2437001626470956,0.763831566969546,2.0250408093307866,0.38058264637785644
