metric_type,country,outcome,point_estimate,ci_low_95,ci_high_95,n_boot
cuminc_gap_60m,Sweden,Outcome A (>=4),0.07779886148007586,-0.11256481481481483,0.30484772807637905,300
cuminc_gap_60m,Sweden,Outcome B (>=5),0.20651486401012017,0.00401928423807187,0.4171340865437619,300
cuminc_gap_60m,Romania,Outcome A (>=4),0.011904761904761918,-0.1331655844155844,0.17077979376164962,300
cuminc_gap_60m,Romania,Outcome B (>=5),0.08095238095238097,-0.04491088156268172,0.21616792929292925,300
cox_hr_lcnc,Pooled,Outcome A (>=4),0.859550095767299,0.5152874582881657,1.266913140028521,300
cox_hr_lcnc,Pooled,Outcome B (>=5),1.1013819957866808,0.6313697202124566,1.9855375898866447,300
