model,outcome,covariate,hr,hr_low_95,hr_high_95,p_value
pooled_three_group_stratified_baseline_bin,Outcome A,grp_lcnc,0.8650218441339574,0.5309196925038463,1.4093709489283854,0.5604342291705726
pooled_three_group_stratified_baseline_bin,Outcome A,grp_mixed,0.3069764317506721,0.12062916984747307,0.7811918938804587,0.013207707514830058
pooled_three_group_stratified_baseline_bin,Outcome A,is_romania,0.9148007178691929,0.5845122837395114,1.4317241513900136,0.6967993776299098
pooled_three_group_stratified_baseline_bin,Outcome A,lcnc_x_romania,1.1703123543405745,0.5208631182325175,2.629541157319501,0.7033768282369878
pooled_three_group_stratified_baseline_bin,Outcome A,mixed_x_romania,2.4182460347001413,0.591289299477708,9.890106060617839,0.21915317378227667
pooled_three_group_stratified_baseline_bin,Outcome A,number_of_roles,1.0775541900177954,1.0213977415202864,1.1367981200904638,0.00623269219166296
pooled_three_group_stratified_baseline_bin,Outcome A,career_start_year,0.9970574095135715,0.9599538121924212,1.0355951143060238,0.8789467204683041
pooled_three_group_stratified_baseline_bin,Outcome B,grp_lcnc,1.1149202473591562,0.6248965166032989,1.989204812227369,0.7126721372793878
pooled_three_group_stratified_baseline_bin,Outcome B,grp_mixed,0.4902746055732639,0.16774776531417693,1.432920363617536,0.19271198711859977
pooled_three_group_stratified_baseline_bin,Outcome B,is_romania,1.1544943413107116,0.6348167734966789,2.0995935201536176,0.6377876946757997
pooled_three_group_stratified_baseline_bin,Outcome B,lcnc_x_romania,1.3859561026158307,0.5255507430314421,3.654974032189967,0.5094444999385968
pooled_three_group_stratified_baseline_bin,Outcome B,mixed_x_romania,2.3719749671452237,0.45851128956511245,12.270723475751208,0.30299065767318073
pooled_three_group_stratified_baseline_bin,Outcome B,number_of_roles,1.159833885264153,1.0923950587237756,1.2314360364999537,1.226145691715881e-06
pooled_three_group_stratified_baseline_bin,Outcome B,career_start_year,0.9900844900546776,0.9440646484143501,1.0383476376255447,0.6815466888714092
