threshold,covariate,hr,hr_low_95,hr_high_95,p_value,n_profiles,n_events
4,career_start_year,0.993629780139926,0.9558609652289713,1.0328909495162983,0.7465316068613193,257,135
4,is_lcnc,0.859550095767299,0.5274246770534106,1.4008187316172056,0.5436166861598699,257,135
4,is_romania,0.8764611913219831,0.5601595529156478,1.3713668112864046,0.5637275988507762,257,135
4,lcnc_x_romania,1.1767692326751975,0.5234656731603881,2.6454185975756994,0.6937027804596134,257,135
4,number_of_roles,1.0666402902700298,1.009426892260766,1.1270964916332198,0.021817532608331316,257,135
5,career_start_year,0.9851312861965408,0.9379006571228637,1.0347403466166019,0.5501020771405092,257,85
5,is_lcnc,1.1013819957866808,0.6164989293583352,1.9676308309336592,0.7442950331489249,257,85
5,is_romania,1.124049999020439,0.6174089869337235,2.0464366846566158,0.7020715660566932,257,85
5,lcnc_x_romania,1.3945258319127378,0.5281195436526084,3.68231458056231,0.5020483704781213,257,85
5,number_of_roles,1.1525301061149473,1.0835925691423933,1.2258534096008353,6.448384090521873e-06,257,85
6,career_start_year,0.985385137909337,0.9288140306938829,1.0454018112616328,0.6255084303784415,253,62
6,is_lcnc,1.4099613955919754,0.7292676165726605,2.7260104409991963,0.3070761567635975,253,62
6,is_romania,0.9581092445538187,0.4459251508420585,2.058581631392719,0.9126743304219586,253,62
6,lcnc_x_romania,1.6718220850422003,0.5288261912874643,5.285269773099274,0.3815172943809213,253,62
6,number_of_roles,1.1548924362301929,1.074997628575647,1.240725099113884,8.245715761265994e-05,253,62
