cohort,outcome,hr_lcnc_vs_traditional,hr_low_95,hr_high_95,p_value,n_profiles,n_events
<=2009,Outcome A (>=4),1.247087663585344,0.5559963393112264,2.797190432212887,0.592131121548898,34,27
<=2009,Outcome B (>=5),1.5250898500829224,0.63053100477263,3.6887941008779923,0.34898715732619334,34,23
2010-2016,Outcome A (>=4),0.9224286553613542,0.5370059079173437,1.5844790749727153,0.7698831688556654,100,77
2010-2016,Outcome B (>=5),1.3686628845271596,0.7122569420298882,2.630003276828152,0.34632137902210913,100,46
>=2017,Outcome A (>=4),0.7937019692620477,0.31844371334857313,1.9782548362664205,0.619997803547059,123,31
>=2017,Outcome B (>=5),0.7499443670968872,0.20637505141292492,2.7252158140716394,0.6620387895436977,123,16
